time_seconds,joint_1_desired,joint_1_actual,joint_1_error,joint_2_desired,joint_2_actual,joint_2_error,joint_3_desired,joint_3_actual,joint_3_error,joint_4_desired,joint_4_actual,joint_4_error,joint_5_desired,joint_5_actual,joint_5_error,joint_6_desired,joint_6_actual,joint_6_error
0.275,0.13999999999999999,0.1286112809578018,-0.011388719042198181,-0.06999999999999999,-0.0643056404789009,0.0056943595210990905,0.105,0.09645846071835135,-0.00854153928164865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.14250000000000002,0.13111125038539748,-0.011388749614602539,-0.07125000000000001,-0.06555562519269874,0.0056943748073012695,0.106875,0.0983334377890481,-0.008541562210951897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28500000000000003,0.145,0.13361122531602593,-0.011388774683974062,-0.0725,-0.06680561265801296,0.005694387341987031,0.10875,0.10020841898701945,-0.008541581012980554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.14750000000000002,0.13611120475914126,-0.011388795240858757,-0.07375000000000001,-0.06805560237957063,0.005694397620429378,0.110625,0.10208340356935594,-0.00854159643064406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.295,0.15000000000000002,0.13861118790249585,-0.01138881209750417,-0.07500000000000001,-0.06930559395124793,0.005694406048752085,0.11249999999999999,0.10395839092687187,-0.00854160907312812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.1525,0.1411111740800466,-0.01138882591995341,-0.07625,-0.0705555870400233,0.005694412959976705,0.11437499999999999,0.10583338056003493,-0.008541619439965065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.305,0.15500000000000003,0.1436111627456382,-0.011388837254361822,-0.07750000000000001,-0.0718055813728191,0.005694418627180911,0.11624999999999999,0.10770837205922863,-0.00854162794077136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.1575,0.14611115345142334,-0.011388846548576664,-0.07875,-0.07305557672571167,0.005694423274288332,0.118125,0.10958336508856747,-0.008541634911432519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.315,0.16000000000000003,0.14861114583016713,-0.011388854169832902,-0.08000000000000002,-0.07430557291508356,0.005694427084916451,0.12,0.11145835937262533,-0.00854164062737467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.1625,0.15111113958073705,-0.011388860419262958,-0.08125,-0.07555556979036852,0.005694430209631479,0.121875,0.11333335468555276,-0.008541645314447233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.325,0.165,0.1536111344562044,-0.011388865543795618,-0.0825,-0.0768055672281022,0.005694432771897809,0.12374999999999999,0.11520835084215326,-0.00854164915784672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.1675,0.1561111302540876,-0.011388869745912411,-0.08375,-0.0780555651270438,0.0056944348729562055,0.125625,0.11708334769056568,-0.008541652309434308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.335,0.17,0.15861112680835182,-0.011388873191648191,-0.085,-0.07930556340417591,0.0056944365958240956,0.1275,0.11895834510626385,-0.00854165489373615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.17250000000000001,0.1611111239828485,-0.011388876017151522,-0.08625000000000001,-0.08055556199142425,0.005694438008575761,0.129375,0.12083334298713636,-0.008541657012863635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34500000000000003,0.17500000000000002,0.16361112166593578,-0.01138887833406424,-0.08750000000000001,-0.08180556083296789,0.00569443916703212,0.13125,0.12270834124945182,-0.008541658750548187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.1775,0.16611111976606732,-0.011388880233932669,-0.08875,-0.08305555988303366,0.0056944401169663345,0.133125,0.12458333982455048,-0.008541660175449509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.355,0.18000000000000002,0.1686111182081752,-0.011388881791824818,-0.09000000000000001,-0.0843055591040876,0.005694440895912409,0.135,0.1264583386561314,-0.008541661343868606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.1825,0.17111111693070366,-0.011388883069296335,-0.09125,-0.08555555846535183,0.0056944415346481675,0.136875,0.12833333769802774,-0.008541662301972258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.365,0.18500000000000003,0.17361111588317701,-0.011388884116823011,-0.09250000000000001,-0.08680555794158851,0.005694442058411506,0.13875,0.13020833691238276,-0.008541663087617252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.1875,0.17611111502420515,-0.01138888497579485,-0.09375,-0.08805555751210258,0.005694442487897425,0.140625,0.13208333626815386,-0.008541663731846144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.375,0.19,0.17861111431984822,-0.011388885680151783,-0.095,-0.08930555715992411,0.005694442840075892,0.1425,0.13395833573988616,-0.008541664260113824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.1925,0.18111111374227554,-0.011388886257724468,-0.09625,-0.09055555687113777,0.005694443128862234,0.144375,0.13583333530670666,-0.008541664693293344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.385,0.195,0.18361111326866594,-0.011388886731334064,-0.0975,-0.09180555663433297,0.005694443365667032,0.14625,0.13770833495149945,-0.00854166504850054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.1975,0.18611111288030607,-0.011388887119693936,-0.09875,-0.09305555644015304,0.005694443559846968,0.148125,0.13958333466022954,-0.008541665339770466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.395,0.2,0.18861111256185098,-0.011388887438149031,-0.1,-0.09430555628092549,0.005694443719074516,0.15,0.14145833442138822,-0.008541665578611773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
