时间,电机位置,电机力矩,关节实际位置（编码器）,关节理论位置（电机转换）,关节指令位置
0.302,0,0,1.831,0.031957,-1.54151
0.303,0,0,1.831,0.031957,-1.53906
0.304,0,0,1.831,0.031957,-1.53651
0.305,0,0,1.831,0.031957,-1.53387
0.306,0,0,1.831,0.031957,-1.53113
0.307,0,0,1.831,0.031957,-1.52829
0.308,0,0,1.831,0.031957,-1.52536
0.309,0,0,1.831,0.031957,-1.52234
0.31,0,0,1.831,0.031957,-1.51922
0.311,0,0,1.831,0.031957,-1.51601
0.312,0,0,1.831,0.031957,-1.5127
0.313,0,0,1.831,0.031957,-1.5093
0.314,0,0,1.831,0.031957,-1.50581
0.314999,0,0,1.831,0.031957,-1.50223
0.315999,0,0,1.831,0.031957,-1.49855
0.316999,0,0,1.831,0.031957,-1.49478
0.317999,0,0,1.831,0.031957,-1.49093
0.318999,0,0,1.831,0.031957,-1.48698
0.319999,0,0,1.831,0.031957,-1.48294
0.320999,0,0,1.831,0.031957,-1.47881
0.321999,0,0,1.831,0.031957,-1.4746
0.322999,0,0,1.831,0.031957,-1.4703
0.323999,0,0,1.831,0.031957,-1.4659
0.324999,0,0,1.831,0.031957,-1.46143
0.325999,0,0,1.831,0.031957,-1.45686
0.326999,0,0,1.831,0.031957,-1.45221
0.327999,0,0,1.831,0.031957,-1.44748
0.328999,0,0,1.831,0.031957,-1.44265
0.329999,0,0,1.831,0.031957,-1.43775
0.330999,0,0,1.831,0.031957,-1.43276
0.331999,0,0,1.831,0.031957,-1.42769
0.332999,0,0,1.831,0.031957,-1.42254
0.333999,0,0,1.831,0.031957,-1.4173
0.334999,0,0,1.831,0.031957,-1.41199
0.335999,0,0,1.831,0.031957,-1.40659
0.336999,0,0,1.831,0.031957,-1.40112
0.337999,0,0,1.831,0.031957,-1.39556
0.338999,0,0,1.831,0.031957,-1.38993
0.339999,0,0,1.831,0.031957,-1.38422
0.340999,0,0,1.831,0.031957,-1.37844
0.341999,0,0,1.831,0.031957,-1.37258
0.342999,0,0,1.831,0.031957,-1.36664
0.343999,0,0,1.831,0.031957,-1.36063
0.344999,0,0,1.831,0.031957,-1.35454
0.345999,0,0,1.831,0.031957,-1.34839
0.346999,0,0,1.831,0.031957,-1.34216
0.347999,0,0,1.831,0.031957,-1.33586
0.348999,0,0,1.831,0.031957,-1.32949
0.349999,0,0,1.831,0.031957,-1.32305
0.350999,0,0,1.831,0.031957,-1.31654
0.351999,0,0,1.831,0.031957,-1.30996
0.352999,0,0,1.831,0.031957,-1.30332
0.353999,0,0,1.831,0.031957,-1.29661
0.354999,0,0,1.831,0.031957,-1.28983
0.355999,0,0,1.831,0.031957,-1.28299
0.356999,0,0,1.831,0.031957,-1.27608
0.357999,0,0,1.831,0.031957,-1.26912
0.358999,0,0,1.831,0.031957,-1.26209
0.359999,0,0,1.831,0.031957,-1.255
0.360999,0,0,1.831,0.031957,-1.24785
0.361999,0,0,1.831,0.031957,-1.24064
0.362999,0,0,1.831,0.031957,-1.23337
0.363999,0,0,1.831,0.031957,-1.22605
0.364999,0,0,1.831,0.031957,-1.21867
0.365999,0,0,1.831,0.031957,-1.21123
0.366999,0,0,1.831,0.031957,-1.20374
0.367999,0,0,1.831,0.031957,-1.1962
0.368999,0,0,1.831,0.031957,-1.1886
0.369999,0,0,1.831,0.031957,-1.18095
0.370999,0,0,1.831,0.031957,-1.17325
0.371999,0,0,1.831,0.031957,-1.1655
0.372999,0,0,1.831,0.031957,-1.15771
0.373999,0,0,1.831,0.031957,-1.14986
0.374999,0,0,1.831,0.031957,-1.14197
0.375999,0,0,1.831,0.031957,-1.13403
0.376999,0,0,1.831,0.031957,-1.12605
0.377999,0,0,1.831,0.031957,-1.11803
0.378999,0,0,1.831,0.031957,-1.10996
0.379999,0,0,1.831,0.031957,-1.10185
0.380999,0,0,1.831,0.031957,-1.0937
0.381999,0,0,1.831,0.031957,-1.08551
0.382999,0,0,1.831,0.031957,-1.07728
0.383999,0,0,1.831,0.031957,-1.06902
0.384999,0,0,1.831,0.031957,-1.06072
0.385999,0,0,1.831,0.031957,-1.05238
0.386999,0,0,1.831,0.031957,-1.04401
0.387999,0,0,1.831,0.031957,-1.03561
0.388999,0,0,1.831,0.031957,-1.02717
0.389999,0,0,1.831,0.031957,-1.01871
0.390999,0,0,1.831,0.031957,-1.01021
0.391998,0,0,1.831,0.031957,-1.00169
0.392998,0,0,1.831,0.031957,-0.993133
0.393998,0,0,1.831,0.031957,-0.984553
0.394998,0,0,1.831,0.031957,-0.975949
0.395998,0,0,1.831,0.031957,-0.967319
0.396998,0,0,1.831,0.031957,-0.958667
0.397998,0,0,1.831,0.031957,-0.949992
0.398998,0,0,1.831,0.031957,-0.941297
0.399998,0,0,1.831,0.031957,-0.932581
0.400998,0,0,1.831,0.031957,-0.923847
0.401998,0,0,1.831,0.031957,-0.915095
0.402998,0,0,1.831,0.031957,-0.906326
0.403998,0,0,1.831,0.031957,-0.897542
0.404998,0,0,1.831,0.031957,-0.888743
0.405998,0,0,1.831,0.031957,-0.879932
0.406998,0,0,1.831,0.031957,-0.871108
0.407998,0,0,1.831,0.031957,-0.862273
0.408998,0,0,1.831,0.031957,-0.853428
0.409998,0,0,1.831,0.031957,-0.844575
0.410998,0,0,1.831,0.031957,-0.835714
0.411998,0,0,1.831,0.031957,-0.826847
0.412998,0,0,1.831,0.031957,-0.817974
0.413998,0,0,1.831,0.031957,-0.809098
0.414998,0,0,1.831,0.031957,-0.800218
0.415998,0,0,1.831,0.031957,-0.791336
0.416998,0,0,1.831,0.031957,-0.782454
0.417998,0,0,1.831,0.031957,-0.773572
0.418998,0,0,1.831,0.031957,-0.764691
0.419998,0,0,1.831,0.031957,-0.755813
0.420998,0,0,1.831,0.031957,-0.746939
0.421998,0,0,1.831,0.031957,-0.73807
0.422998,0,0,1.831,0.031957,-0.729207
0.423998,0,0,1.831,0.031957,-0.720351
0.424998,0,0,1.831,0.031957,-0.711503
0.425998,0,0,1.831,0.031957,-0.702665
0.426998,0,0,1.831,0.031957,-0.693837
0.427998,0,0,1.831,0.031957,-0.685021
0.428998,0,0,1.831,0.031957,-0.676218
